Date,Open,High,Low,Close,Volume,Day,Weekday,Week,Month,Year
1/19/1994,27.301814030814093,27.33780851206764,27.211827827680228,27.265819549560547,200800,19,2,3,1,1994
1/20/1994,27.30181984213954,27.355811575512263,27.283822597681965,27.337814331054688,281100,20,3,3,1,1994
1/21/1994,27.37379010057072,27.37379010057072,27.26580670766906,27.283803939819336,85600,21,4,3,1,1994
1/24/1994,27.265811294909344,27.39179194115645,27.175825119018555,27.175825119018555,373800,24,0,4,1,1994
1/25/1994,27.193822354196712,27.21181958937487,27.12183341348408,27.175825119018555,310400,25,1,4,1,1994
1/26/1994,27.175827139749867,27.26581332233182,27.139832666717087,27.24781608581543,145100,26,2,4,1,1994
1/27/1994,27.30181102977373,27.535775132204225,27.265816552476732,27.499780654907227,344500,27,3,4,1,1994
1/28/1994,27.60776228195071,27.661753994366517,27.571767807006836,27.571767807006836,356500,28,4,4,1,1994
1/31/1994,27.67974535335756,27.823723222555778,27.643750886058005,27.769731521606445,313800,31,0,5,1,1994
2/1/1994,27.733746377652942,27.733746377652942,27.589768460053186,27.625762939453125,303600,1,1,5,2,1994
2/2/1994,27.715729426411748,27.805715560913086,27.69773219951148,27.805715560913086,307600,2,2,5,2,1994
2/3/1994,27.751739390339747,27.751739390339747,27.589764257711305,27.679750442504883,466100,3,3,5,2,1994
2/4/1994,27.67974017226371,27.71573463282582,27.049837112426758,27.049837112426758,1403200,4,4,5,2,1994
2/7/1994,26.977855532058815,27.247814059731187,26.977855532058815,27.175825119018555,516400,7,0,6,2,1994
2/8/1994,27.229815421871283,27.229815421871283,27.085837547862713,27.19382095336914,188200,8,1,6,2,1994
